;lat;lon;name_ru;opening_hours;website;star
169;55.7559618;37.5614842;Blacksmith;24/7;http://blackpub.ru/;1
170;55.7822612;37.5993117;Grace O'Malley;"Mo-Th 12:00-24:00; Fr 12:00-03:00; Sa,Su 14:00-24:00";http://www.graceomalley.ru;1
171;55.7038933;37.7731786;Тренчин;;;1
172;55.706677;37.7598661;Пятница Паб;;;1
173;55.7287292;37.623619;Кружка;;http://kruzhka.ru;1
174;55.7621915;37.6203592;The White Hart;"Mo-Th 12:00-24:00; Fr,Sa 00:00-06:00,12:00-24:00; Su 00:00-06:15,12:00-24:00";http://whitehart.ru;1
175;55.6021453;37.5553061;;;;1
176;55.840062;37.48869;Cuba;;;1
177;55.7699906;37.5972045;Pivbar;Mo-Su 12:00-24:00;;1
178;55.7638785;37.6156079;Originals;;http://originalspub.ru;1
179;55.7647502;37.6081348;White Eagles;"Mo-Fr 12:00-24:00; Sa,Su 00:00-02:30,15:00-24:00";http://vk.com/we_pub;1
180;55.6790516;37.5725096;Бразен;Mo-Su 12:00-00:00;http://www.brazen-pub.ru;1
181;55.7522414;37.596793;Жигули;"Su-Th 12:00-02:00; Fr-Sa 12:00-04:00";http://www.zhiguli.su;1
182;55.7365963;37.6497251;Queen V;;http://www.queenv.ru;1
183;55.8093053;37.40351;Кружка;;http://kruzhka.ru/;1
184;55.7715631;37.682143;Кружка;"Mo-Fr 12:00-24:00; Sa,Su 00:00-04:00,12:00-24:00";http://www.kruzhka.ru;1
185;55.7416045;37.6522906;Craft & Draft;;http://craft-draft.ru;1
186;55.7770972;37.5851811;БИРкрафт;Mo-Su 12:00-24:00;;1
187;55.6770117;37.5053295;London;;;1
188;55.7585785;37.581072;Rocky's;Mo-Su 12:00-24:00;;1
189;55.742124;37.6552813;Варка;"Mo-Th 13:00-24:00; Fr 00:00-02:00,13:00-24:00; Sa 00:00-02:00,14:00-24:00; Su 14:00-24:00";https://www.facebook.com/varkacraftbar;1
190;55.7648086;37.7011374;Pub Daddy;;;1
191;55.7568857;37.7078788;Норвич;;;1
192;55.7408094;37.6090495;Ваня нальёт;Mo-Su 13:00-23:00;;1
193;55.817985;37.630228;Пивной бар;;;1
194;55.7387163;37.653034;Чак Норрис;Mo-Su 14:00-23:00;;1
195;55.7301044;37.6253136;Pitcher;Mo-Su 14:00-24:00;http://pitcher-pub.ru;1
196;55.7608154;37.6461126;ГлавПивМаг;"Mo-Fr 10:00-23:00; Sa,Su 10:00-22:00";http://glavpivmag.com;1
197;55.7578544;37.5871582;Толстой;"Mo-Th 12:00-23:00; Fr 12:00-24:00; Sa 00:00-03:00,12:00-24:00; Su 00:00-03:00,12:00-23:00";http://www.tolstoy.pub;1
198;55.762857;37.5574817;Хлеб и вино;Mo-Su 11:00-24:00;http://xleb-vino.ru;1
199;55.7654056;37.6310027;Чагин;"Mo-Fr 12:00-24:00; Sa,Su 00:00-06:00,12:00-24:00";;1
200;55.8069131;37.7997999;"Пивной ресторан ""Отрыв""";"Mo-Th 12:00-23:30; Fr 12:00-24:00; Sa 00:00-01:00,13:00-24:00; Su 00:00-01:00,13:00-23:00";;1
201;55.748075;37.7751325;Пенная галерея - Рабочий класс;;;1
202;55.7647806;37.65473;Сильвер'с;Mo-Su 10:00-24:00;http://www.silverspub.com;1
203;55.7512978;37.6070209;Rule Taproom;"Tu-Fr 18:00-24:00; Sa,Su 00:00-02:00,18:00-24:00";http://ruletaproom.tilda.ws;1
204;55.7632689;37.6546534;Бутылка, кружка и котел;"Su-Th 12:00-23:00; Fr-Sa 12:00-00:00";;1
205;55.682974;37.8446029;Брудер на Привольной;;http://julebino.beerbruder.ru/;1
206;55.7651193;37.6023592;Crafter;;https://vk.com/crafterbar;1
207;55.7981189;37.5270463;Сова и топор;Mo-Su 12:00-23:00;;1
208;55.7741378;37.6183783;Little Craft Bar;Mo-Su 15:00-23:00;http://Facebook.com/littlecraftbar;1
209;55.777158;37.5852015;Paddy's Irish Pub & Eatery;"Mo-Th 11:00-23:00; Fr 11:00-24:00; Sa 00:00-03:00,12:00-24:00; Su 00:00-03:00,12:00-23:00";http://www.facebook.com/paddysmoscow/;1
210;55.7821441;37.5996264;Fcking Craft Pub;"Mo-Su 00:00-02:00,12:00-24:00; Tu-Fr 12:00-24:00";;1
211;55.7707393;37.5963974;PasternakBar;"Mo-Th 17:00-24:00; Fr 17:00-05:00; Sa 15:00-05:00; Su 15:00-00:00";http://www.pasternak-bar.ru;1
212;55.7555895;37.6650128;Kraftwerk;"Mo-Su 00:00-02:00,09:00-24:00; Tu-Fr 09:00-24:00";http://kraftwerkbar.ru;1
213;55.78275;37.7051252;Rolling Barrels;Mo-Su 11:00-23:00;;1
214;55.76504;37.6082931;Craft Station;"Mo 11:45-24:00; Tu-Fr 00:00-03:00,11:45-24:00; Sa,Su 00:00-06:00,11:45-24:00";http://craftstation.ru;1
215;55.7718194;37.6195044;На кранах;"Mo-Fr 13:00-24:00; Sa,Su 00:00-02:00,14:00-24:00";;1
216;55.7579534;37.637147;Hardy;Mo-Su 12:00-24:00;;1
217;55.7586965;37.6389337;Лара Крафт;"Mo-Su 09:00-23:00; Fr,Sa 09:00-24:00";;1
218;55.7699299;37.6324843;Beer Happens;"Mo-Fr 12:00-24:00; Sa,Su 00:00-02:00,12:00-24:00";http://beerhappens.ru;1
219;55.7805185;37.6017759;The Tipsy Pub;"Mo-Fr 08:00-24:00; Sa 00:00-06:00,12:00-24:00; Su 00:00-03:00,12:00-24:00";;1
220;55.7567831;37.6268855;Pivbar;Mo-Su 12:00-24:00;;1
221;55.7112947;37.6122014;Ресторанчик Фрау Шнапсбир;Mo-Su 12:00-00:00;www.frau-shnapsbir.ru;1
222;55.7415954;37.6516261;Hlstk;"Mo-Fr 12:00-24:00; Sa,Su 00:00-03:00,12:00-24:00";;1
223;55.7745593;37.5816381;Вad.Вro.Вar;Mo-Su 13:00-24:00;;1
224;55.7708102;37.6251978;Герои;"Mo-Fr 12:00-24:00; Sa,Su 00:00-03:00,12:00-24:00";;1
225;55.7412551;37.6267881;Underdog;Mo-Su 12:00-24:00;;1
226;55.6472185;37.7155336;Разливное пиво;;;1
227;55.8352269;37.4906755;Beertep Craft Pub;Mo-Su 13:00-24:00;;1
228;55.7696396;37.6470135;Staropramen Pub&Grill;"Mo-Su 12:00-23:00; Fr,Sa 12:00-24:00";http://www.staropramenpub.ru;1
229;55.7523268;37.5971319;Пайс паб;;;1
230;55.808348;37.4944833;Букингем;;http://www.bukingempab.ru;1
231;55.7973508;37.7995727;Black Cat Pub;Mo-Su 12:00-23:00;;1
232;55.8190063;37.5049757;Кружка;"Su-Th 12:00-00:00; Fr-Sa 12:00-04:00";http://www.kruzhka.ru;1
233;55.7573861;37.6335796;Борода;"Mo-Fr 12:00-24:00; Sa,Su 00:00-05:00,12:00-24:00";;1
234;55.8167469;37.4985752;Пиво есть!;Mo-Su 12:00-23:00;http://pivo-est.ru;1
235;55.7414407;37.6283865;Parka;"Mo-Th 13:00-24:00; Fr-Su 00:00-02:00,13:00-24:00";;1
236;55.7586619;37.6402184;Бонни & Клайд;Mo-Su 11:00-24:00;;1
237;55.7631704;37.5551763;RightHops;"Mo-Th 12:00-23:00; Fr 12:00-24:00; Sa 00:00-02:00,12:00-24:00; Su 00:00-02:00,12:00-23:00";;1
238;55.85219;37.6457734;Бирхаус Паб;;;1
239;55.7336634;37.5638947;Немец-Перец. Колбаса;Mo-Su 12:00-24:00;;1
240;55.7532432;37.7144131;;;;1
241;55.8010669;37.636731;Beef time;;;1
242;55.6774904;37.6516975;;;;1
243;55.8071271;37.6169524;Джолли Дог Паб;;;1
244;55.7504335;37.5822463;Проточный;Tu-Su 11:00-23:00;;1
245;55.8567596;37.4929272;Йоркшир;Mo-Su 12:00-01:00;;1
246;55.7078425;37.7434664;Пивная на 11-ой;;;1
247;55.8183558;37.5739085;Сварня;"Su-Th 11:00-23:00; Fr-Sa 12:00-02:00";http://www.svarnya.ru;1
248;55.8556158;37.4762569;Кружка;"Mo-Fr 00:00-01:00,10:00-24:00; Sa,Su 00:00-04:00,10:00-24:00";http://www.kruzhka.ru;1
249;55.7044532;37.6536807;1875;24/7;;1
250;55.7495326;37.7170052;Нора;12:00-23:00;;1
251;55.7684351;37.6322549;"Пивница ""Чертовка""";;http://pivnica-chertovka.ru/;1
252;55.6650808;37.4718911;One More Pub;Mo-Su 12:00-00:00;http://www.onemorepub.ru/;1
253;55.7691697;37.6595334;Лиса и гусь;Mo-Su 12:00-24:00;;1
254;55.7733469;37.6326226;Пилигрим;;;1
255;55.7604851;37.646461;Beer Mood;"Mo-Fr 11:00-24:00; Sa,Su 00:00-02:00,11:00-24:00";;1
256;55.7424215;37.6516814;Стейк и Пинта;"Mo-Fr 12:00-24:00; Sa,Su 15:00-24:00";http://steakandpint.ru;1
257;55.6474347;37.6187786;Иоркшир;;;1
258;55.7852049;37.521943;Виктория&Альберт;Mo-Su 10:00-00:00;http://vapub.ru;1
259;55.7110659;37.6186756;Beerness;Mo-Su 12:00-00:00;http://www.beerness.ru;1
260;55.7826126;37.7173033;SПБ;;;1
261;55.7413471;37.6527894;The BEST bar;;https://vk.com/thebestbar;1
262;55.7572779;37.6324882;Los Bandidos;Mo-Su 14:00-24:00;;1
263;55.6802582;37.6251269;Салют;Mo-Su 10:00-22:00;;1
264;55.7596663;37.6453292;Сосна и Липа;Mo-Su 15:00-23:00;;1
265;55.7539873;37.7100426;Tom pub;;;1
266;55.7782233;37.5843734;Blacksmith;;http://blackpub.ru;1
267;55.7329113;37.6437065;Crab pub;;http://crabpub.ru;1
268;55.7776614;37.4586421;Dead Rabbit;;;1
269;55.7605498;37.6624712;Drunk Punk;Mo-Su 00:00-01:00,14:00-24:00;;1
270;55.7624174;37.6078159;Howard Loves Craft;Mo-Su 12:00-24:00;http://howardlovescraft.ru;1
271;55.7408369;37.6290825;O'Donoghue's;Mo-Su 12:00-23:45;;1
272;55.7796398;37.6445634;Sсhvarz Kaiser;;;1
273;55.7589743;37.5798002;БарКрафт;;http://bar-craft.com;1
274;55.7715898;37.6826651;Пару баб;Mo-Su 00:00-02:00,12:00-24:00;https://vk.com/parubab;1
275;55.7153155;37.6198013;Пивная Библиотека;Mo-Su 11:00-23:00;https://vk.com/beerlibrarymoscow;1
276;55.7405062;37.6171741;Рэд Код;;http://redcodebar.ru;1
277;55.7779865;37.6066571;Лига Пап;Mo-Su 12:00-24:00;http://www.ligapap.ru;1
278;55.781855;37.6009024;Биртайм;Mo-Su 12:00-24:00;;1
279;55.7822306;37.5997401;Пивной дом M&G;;http://pivdom-msk.ru/;1
280;55.767205;37.606172;The Cross Keys;;;1
281;55.8661384;37.4930729;Пенное & Колбаса;24/7;;1
282;55.7591939;37.6248371;Jawsspot;"Mo-Fr 12:00-24:00; Sa,Su 00:00-02:00,12:00-24:00";;1
283;55.762265;37.6127484;Connolly station;"Fr-Sa 12:00-03:00; Tu-Th 12:00-01:00; Su-Mo 12:00-00:00";;1
284;55.7756802;37.5845379;Craft Point;;http://craftpoint.msk.ru;1
285;55.7075841;37.5765188;Loading;11:00-23:00;;1
286;55.78478;37.623576;Paulaner Brauhaus;"Su-Th 12:00-00:00; Fr-Sa 12:00-02:00";http://paulaner-brauhaus.ru;1
287;55.7651713;37.5906122;Craft Noir;;https://vk.com/craftnoir;1
288;55.7658104;37.6047126;ГлавПивМаг;Mo-Su 00:00-03:00,10:00-24:00;http://glavpivmag.com;1
289;55.7696195;37.5820613;Раковая на Тишинке;;https://vk.com/public135260474;1
290;55.8267622;37.436009;Beer & Beard;Mo-Su 13:00-06:00;https://vk.com/beerbeardbar;1
291;55.7296309;37.6328905;Oh, My Craft!;"Mo-Fr 12:00-23:30; Sa,Su 14:00-23:30";http://mycraftpub.ru;1
292;55.757904;37.6390834;Pauwel Kwak;Mo-Su 12:00-24:00;http://kwakpub.ru;1
293;55.7740963;37.6319891;Rosie O'Grady's;;http://rosie.ru/;1
294;55.7429453;37.6275886;Блэк Харп;;;1
295;55.7825344;37.5313365;Изи Паб;;;1
296;55.7540579;37.8003322;Пивной погребок;;;1
297;55.7780901;37.4615927;Johny Josper;;;1
298;55.7622871461686;37.5648615631383;John Bull;;http://www.rmcom.ru/page-john-bull;1
299;55.6926763;37.53392235;Урюк Универ;"Su-Th 12:00-00:00; Fr 12:00-03:00; Sa 12:00-03:00";http://uryuk.me;1
300;55.7732313488165;37.669272890801;Археология;17:30-00:00;http://vk.com/club472701;1
301;55.78904605;37.7491432;Кружка;;http://www.kruzhka.ru/;1
302;55.699335750939;37.7749895978177;Lovebeer;11:00-24:00;;1
303;55.72937445;37.5991389;Крылышко или ножка;;https://www.facebook.com/wingorleg;1
304;55.8080348393555;37.5191656216614;Папа Джонс;;https://www.papajohns.ru/adresa/picceriya-44;1
305;55.8025423532782;37.5825749130458;Beermаркет;;http://www.beermarket.su;1
306;55.7363567171316;37.6705797679156;1516;"Mo-Su 12:00-24:00; Fr,Sa 12:00-02:00";http://www.1516pub.ru;1
307;55.7033839273806;37.7641987431599;"Бар ""Штаб""";;;1
308;55.7975292749017;37.6063727304247;Wooden House;Mo-Su 12:00-23:00;;1
309;55.77629695;37.6805926;Альбион;;https://vk.com/pubalbion;1
310;55.9056134;37.7287193;Мустанг;;;1
311;55.5917088;37.3662609;Начальник Чукотки;;;1
312;55.8939675;37.4510173;Спорт бар;;;1
313;55.8146597;37.3648724;За ПивОм;;http://www.za-pivom.ru;1
314;55.6817091;37.8964192;;;;1
315;55.7933445;37.8417485;Пехорка;;;1
316;55.6690745;37.8750187;Beer Hall;;;1
317;55.6682329;37.8827967;;;;1
318;55.815517;37.3528498;The Firm;"Mo-Fr 14:00-23:00; Sa,Su 12:00-23:00";;1
319;55.8159627;37.3683525;Old Irish Pub;"Mo-Fr 14:00-23:00; Sa,Su 12:00-23:00";;1
320;55.8182534;37.3721194;Beero-Mir;;http://vk.com/club92832389;1
321;55.9047232;37.7256682;Пивариум;;;1
